fb_code;Class;Order;Family;Genus;Species;Name;Home_range;Diel_activity;Size_group;Level_water;TempPref_min;TemPref_mean;TempPref_max;Body_size;Size_class;Body_shape;Aspect_ratio;Nphoto;Caudal_fin;Mouth_position;Trophic_level;Diet;Spawning;Depth_min;Depth_max;Depth_range;Allometric_a;Allometric_b;Level_length_weight;PLD;PLD_level;Life_span;Geographic_range_index;Range_extension;Province_2;Province_3;Province_4;Province_6;Province_7;Province_10;Province_11;Province_12;Province_13;Province_14;Province_15;Province_16;Province_17;Province_43;Province_44;Province_45;Province_46;Province_47;Province_48;Province_50;IUCN_status;Vulnerability;Price_category
3905;actinopterygii;perciformes;acanthuridae;acanthurus;tractus;Acanthurus tractus;mob;day;medg;low;15,67;21,84;28,38;38,1;s4;compressed;2,42851;1;truncated;terminal;2;hd;pelagic;11;45;34;0,0191;2,08;species;44,27;;31;60;native;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;lc;21,09;medium
1800;actinopterygii;perciformes;acanthuridae;acanthurus;monroviae;Acanthurus monroviae;mob;day;medg;low;18,92;22,42;26,34;45;s4;compressed;1,85186;2;truncated;terminal;2,5;hd;pelagic;5;40;35;0,002453226;3;genus;36,8;genus;NA;60;transatlantic;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;lc;46,16;medium
13419;actinopterygii;perciformes;acanthuridae;prionurus;punctatus;Prionurus punctatus;mob;day;smallg;low;21,74;24,33;27,29;60;s5;compressed;2,108765;2;truncated;subterminal;2;hm;pelagic;5;35;30;0,198;2,504;species;NA;;NA;20;native;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;lc;39,49;medium
4737;actinopterygii;perciformes;acanthuridae;acanthurus;leucopareius;Acanthurus leucopareius;mob;day;medg;high;23,17;25,9;28,63;25;s3;compressed;1,93654;4;truncated;terminal;2;hd;pelagic;1;85;84;0,0028375;3;species;73;genus;NA;113;native;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;lc;24,62;medium
942;actinopterygii;perciformes;acanthuridae;acanthurus;bahianus;Acanthurus bahianus;mob;day;medg;low;23,56;26,29;29,24;38,1;s4;compressed;2,43;1;truncated;terminal;2;hd;pelagic;2;40;38;0,0191;3,08;species;69,3;species;31;54;native;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;lc;17,97;not_targeted
944;actinopterygii;perciformes;acanthuridae;acanthurus;coeruleus;Acanthurus coeruleus;mob;day;medg;low;23,61;26,36;29,32;39;s4;compressed;3,48929;1;truncated;terminal;2;hd;pelagic;2;40;38;0,0286;3;species;18;species;23;53;native;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;lc;58,55;medium
943;actinopterygii;perciformes;acanthuridae;acanthurus;chirurgus;Acanthurus chirurgus;mob;day;medg;low;23,74;26,46;29,37;39;s4;compressed;1,867165;2;truncated;terminal;2;hd;pelagic;2;25;23;0,0225;3;species;33,7;species;12;60;native;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;lc;22,98;medium
1265;actinopterygii;perciformes;acanthuridae;naso;unicornis;Naso unicornis;mob;day;smallg;low;24,17;26,6;28,94;70;s5;fusiform;2,84756;1;truncated;terminal;2,2;hm;pelagic;1;180;179;0,017880286;3,035454104;species;74;species;NA;280;native;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;lc;32,05;medium
1260;actinopterygii;perciformes;acanthuridae;acanthurus;triostegus;Acanthurus triostegus;vmob;day;largeg;low;24,21;26,49;28,74;27;s3;compressed;1,915724;5;truncated;terminal;2,8;hd;pelagic;0;90;90;0,083063451;2,569683389;species;38;species;NA;293;native;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;lc;16,26;medium
6021;actinopterygii;perciformes;acanthuridae;naso;brevirostris;Naso brevirostris;vmob;day;largeg;low;24,32;26,74;29,09;60;s5;fusiform;2,66667;1;rounded;terminal;2,2;om;pelagic;2;122;120;0,010649453;3,242973288;species;82;species;25;277;native;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;lc;32,66;medium
