Type,Order,Family,Genus,Species,authority,Popular_name_PT,English_name,BR,RR,RB,TP,SG,SB,EM,OC,Habitat use,Depth_category,max_depth_m,Size_category,Maximum_size_cm,Mobility,Geographic_distribution,Trophic_category ,Functional group,Potencial de dispersão,Rafting,Targeted_species_fisheries,IUCN,National list,Brazilian Province,Argentine,North Islands,Central Islands,PML-PAMA,Northeast with PAMA-PML,Northeast,Southeast,Noronha/rocas,Atol,FN,SpSp,PML,PA-MA,CE,RN,PE,PB,AL,CVT,Tri,BA,Abr,ES,ArC,IGr,RJ,SP,PR,SC,URU,ARG,total,BR Endêmico,SWA Endemic,Expatriated,Exotic,References,Museums,OBS,
OSTEICH,Perciformes,ACANTHURIDAE,Acanthurus,Acanthurus bahianus ,"Castelnau, 1855","Cirurgião, barbeiro, lanceta",Ocean surgeon,1,1,1,1,1,1,1,0,7,MID,71,MED,30,ROV,"BR, WA, OIB, MAR",HERB,TURF,PEL,N,2,LC,LC,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,20,1,1,Cuba and vagrant individuals have been recorded around Ascension and St. Helena islands,0,"9, 10, 12, 15, 17, 28, 33, 37, 47, 49, 51, 57, 58, 67, 70, 79","D, H",,
OSTEICH,Perciformes,ACANTHURIDAE,Acanthurus,Acanthurus chirurgus,"(Bloch, 1787)","Barbeiro comum, barbeiro, lanceta, acaraúna, barbeiro-preto",Doctorfish,1,1,1,1,1,1,0,0,6,DEEP,70,MED,35,ROV,"WA, OIB, MAR, EA",HERB,TURF,PEL,N,2,LC,LC,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,19,0,,,0,"9, 10, 12, 14, 15, 17, 28, 33, 37, 47, 49, 51, 57, 58, 67, 70, 79","D, H",,
OSTEICH,Perciformes,ACANTHURIDAE,Acanthurus,Acanthurus coeruleus ,"Bloch & Schneider, 1801","Barbeiro, Barbeiro amarelo, Barbeiro azul, cirurgião azul/ amarelo, lanceta, peixe doutor ","Blue tang, Yellow tang, doctorfish",1,1,1,1,1,1,0,0,6,DEEP,71,MED,36,ROV,"WA, OIB, MAR",HERB,TURF,PEL,N,2,LC,LC,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,20,0,,,0,"9, 10, 12, 15, 16, 17, 28, 33, 37, 47, 49, 51, 58,70, 79","D, H",,
OSTEICH,Perciformes,ACANTHURIDAE,Acanthurus,Acanthurus monroviae,"Steindachner, 1876","Cirurgião, barbeiro, lanceta",Monrovia doctorfish,0,1,0,0,0,0,0,0,1,VDEEP,200,MED,45,ROV,"SA, EA",HERB,TURF,PEL,N,0,LC,NA,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,,,1,"41, 64",,,
OSTEICH,Pleuronectiformes,ACHIRIDAE,Achirus,Achirus lineatus,"(Linnaeus, 1758)","Linguado-aramaçá, tapa, solha, solha-redonda",lined sole,0,0,0,0,1,1,1,0,3,SHALL,20,MEDSMALL,23,SED,WA,MINV,SAND,PEL,N,3,,LC,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,12,0,,,0,"9, 68",H,,
OSTEICH,Pleuronectiformes,ACHIRIDAE,Gymnachirus,Gymnachirus nudus,"Kaup, 1858","Linguado-zebra, solha zebra, aramaçã",zebra sole; naked sole,0,0,0,0,1,1,1,0,3,DEEP,100,MEDSMALL,15,SED,WA,MINV,SAND,PEL,N,3,,LC,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,10,0,,,0,83,D,,
OSTEICH,Perciformes,ACROPOMATIDAE,Synagrops,Synagrops sp. ,,,,0,0,0,0,0,0,0,1,1,,,,,HMO,,MCAR,MCAR,PEL,N,0,,LC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,70,,,
OSTEICH,Scorpaeniformes,AGONIDAE,Agonopsis,Agonopsis chiloensis,"(Jenyns, 1840)",,,0,1,0,0,0,0,0,0,1,VDEEP,400,MEDSMALL,12.5,SED,"SA, EP",MINV,MINV,PEL,N,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,0,71,,,
OSTEICH,Albuliformes,ALBULIDAE,Albula,Albula nemoptera,"(Fowler, 1911)",Ubarana,Treadfin bonefish; Shafted bonefish,1,1,0,0,0,1,1,0,4,MID,50,LARGE,51,ROV,WA,MINV,SAND,PEL,N,0,DD,LC,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,7,0,,,0,"18, 85",,,
OSTEICH,Albuliformes,ALBULIDAE,Albula,Albula vulpes,"Valenciennes, 1847",Ubarana-rato; Arabaiana-rato; Focinho-de-rato; Juruna; Peixe-rato; Ubarana; Ubarana-boca-de-rato; Ubarana do norte; Banana; Macabi; Sanducha; Falso-badejo,Bonefish; Grubber,1,1,0,1,0,1,1,0,5,DEEP,84,LARGE,104,ROV,CT,MINV,SAND,PEL,N,3,NT,DD,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,14,0,,,0,"9, 14, 15, 29, 35, 49, 68, 84, 86","D, H",,
OSTEICH,Aulopiformes,ALEPISAURIDAE,Alepisaurus,Alepisaurus ferox,"Lowe, 1833",,Long snouted lancetfish,0,0,0,0,0,0,0,1,1,VDEEP,1830,LARGE,215,HMO,CT,MCAR,MCAR,PEL,N,2,LC,LC,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,24,,,
